number_pair;exercises
pair1;"• Определи, где в твоей жизни ты сопротивляешься из страха, а не из правды.
• Нарисуй свой внутренний флаг — что действительно стоит защищать?
• Где ты мог бы проявить силу в поддержку, а не в отвержение?"
pair2;"• Назови три ситуации, где ты чувствовал себя бессильным. Что ты на самом деле чувствовал?
• Найди в теле то место, где живёт эта боль. Положи туда руки. Дыши.
• Представь, что ты уже исцелён. Как бы ты действовал?"
pair3;"• Напиши письмо себе как союзник. Что бы ты сказал себе в трудный момент?
• Что ты боишься дать другим? Что хочешь получить, но не просишь?
• Прими один реальный союз: поговори, попроси, откройся."
pair4;"• Выпиши 3 суждения о себе или других. Что под ними на самом деле — страх, боль, ожидание?
• Перепиши их языком любви и различения.
• Практикуй: «Я вижу, что… и выбираю понять, а не осудить»."
pair5;"• Где ты помогаешь, чтобы не чувствовать?
• Как ты можешь быть в боли и в любви одновременно?
• Медитация: «Я чувствую боль — и я есть свет»."
pair6;"• Вспомни случай, где ты нарушил доверие. Что ты на самом деле хотел защитить?
• Как можно быть верным себе — и не разрушать других?
• Запиши обещание себе: что ты защищаешь в жизни?"
pair7;"• Что ты чаще всего просишь от других? Почему сам себе это не даёшь?
• Представь, что ты уже наполнен. Что ты хочешь отдать?
• Практика: зажечь свечу и просто быть — светить, не требовать."
pair8;"• Прими душ с намерением очищения. Поблагодари тело.
• Назови 5 черт своей телесной красоты.
• Сними 1 фото, где ты живой(ая) — без фильтров, но с любовью."
pair9;"• Что ты хочешь разрушить в своей жизни? Зачем?
• Нарисуй картину хаоса, а затем трансформируй её в новый образ.
• Практика: «Я могу выразить силу — через создание»."
pair10;"• Где ты боишься взять на себя власть? Почему?
• Напиши манифест своего царства: что ты правишь, чему служишь?
• Образ: твой внутренний трон — кто на нём сидит?"
pair11;"• В чём ты хочешь быть услышан(а)?
• Представь, что ты жрец/жрица, создающий ритуал для исцеления
• своей боли. Что в нём?
• Запиши «Молитву своей ярости» — с уважением к её силе."
pair12;"• Назови, чему тебя научила твоя боль.
• Представь, что ты целитель для себя в прошлом. Что ты скажешь тому, кто лежит?
• Практика: забота о теле сегодня — как ритуал возвращения."
pair13;"• С чем / кем ты сейчас сражаешься — на самом деле?
• Какая битва в твоей жизни достойна чести?
• Нарисуй свой внутренний щит. Что он защищает?"
pair14;"• Какой внутренний голос ты глушишь?
• Придумай трезвую практику ухода в глубину: музыка, дыхание, мантра.
• Напиши: что ты хочешь помнить, даже в боли?"
pair15;"• Какую часть себя ты изгнал?
• Напиши письмо себе - изгнаннику от мудреца.
• Образ: твой внутренний дом. Что нужно, чтобы ты вернулся в него?"
pair16;"• В чём ты боишься быть покинутым?
• Представь, что ты — влюблённый в жизнь. Что ты даришь без ожиданий?
• Придумай ритуал, где ты обмениваешься энергией по любви, а не по нужде."
pair17;"• В чём ты стыдишься своей естественности?
• Создай образ своей живой красоты — в чувствах, жестах, взгляде.
• Отметь день, когда ты живёшь как Красота, не ради других."
pair18;"• Где ты удерживаешь контроль — и что ты боишься потерять?
• Представь себя королём. Как ты управляешь своим королевством — душой?
• Практика: делегирование / передача одного из ""контролируемых"" дел."
pair19;"• На кого ты сейчас «светишь прожектором»?
• Представь, что ты звезда на небе: за что ты сияешь?
• Напиши себе письмо как звезда — без критики, с поддержкой."
pair20;"• Что ты хочешь уничтожить — и почему?
• Образ: ты — Мать -Земля. Как ты трансформируешь проклятие в плодородие?
• Практика: написать гневное письмо — и превратить его в мантру прощения."
pair21;"• Вспомни, когда ты последний раз что -то удерживал — материально или эмоционально.
• Что ты на самом деле боялся потерять?
• Подари сегодня что-то важное — не из жалости, а из любви."
pair22;"• Чего ты стыдишься в своей природе?
• Придумай ритуал очищения не от себя, а к себе.
• Запиши письмо от своей Крестной -Феи, в котором она говорит тебе: «Ты можешь быть собой — и это прекрасно»."
pair23;"• Вспомни 3 момента, где ты «перебрал» — с едой, эмоциями, разговорами.
• Что ты чувствовал накануне этого?
• Создай список из 5 истинных «питательных» практик вместо избытка."
pair24;"• Что ты хотел бы прокричать миру — но не можешь?
• Напиши это как послание любви, не боли.
• Представь, что ты — голос для других. Что ты хочешь до них донести?"
pair25;"• Что ты хочешь разрушить прямо сейчас? Что за этим?
• Представь, что разрушение уже произошло. Что ты теперь можешь построить?
• Нарисуй: что было, что стало.
• Представь: Творец кладёт в твою ладонь огонь. Что ты из него сотворишь?"
pair26;"• Какую часть тела ты скрываешь или стыдишься?
• Напиши себе письмо от Тантрика: «Твоя чувственность — путь к свету».
• Практика: осознанное прикосновение — к себе или любимому человеку."
pair27;"• Что ты откладываешь уже давно? Почему?
• Нарисуй образ внутреннего Силача: что он держит, к чему идёт?
• Маленькое действие сегодня — из уважения к себе, не из насилия."
pair28;"• Вспомни случай, где ты давил на кого -то. Что ты хотел на самом деле?
• Напиши внутреннюю речь как Вождь, не Босс.
• Обратись сегодня к кому-то с доверием, а не приказом."
pair29;"• Что ты прячешь прямо сейчас?
• Что бы сделал(а), если бы не боялся(ась)?
• Маленький выход из тени сегодня — письмо, пост, звонок."
pair30;"• Кого ты сейчас тайно считаешь конкурентом?
• Что ты мог бы дать этому человеку как союзник?
• Практика: один шаг навстречу без сравнения."
pair31;"• В чём ты сейчас отступаешь?
• Опиши, что бы сделал Герой в тебе — шаг на 1% смелее.
• Сегодня — поступок от сердца, не от страха ."
pair32;"• Где ты отдаёшь себя без остатка? Почему?
• Напиши манифест Паладина: ради чего ты живёшь?
• Практика: сказать ""нет"", чтобы остаться в ""да"" к себе."
pair33;"• Что ты критикуешь — в себе и других? Почему?
• Запиши: чему ты на самом деле хочешь научить?
• Практика: выскажи свою мысль — как мастер, не как критик."
pair34;"• Кому ты до сих пор мстишь — внешне или внутри?
• Опиши, кем ты была бы как Богиня, свободная от боли.
• Сегодня — жест любви, не защиты ."
pair35;"• Какая твоя часть пугает тебя?
• Что бы сказал тебе Старец о твоём чудовище?
• Нарисуй карту: ""Моя тень ведёт к моей силе""."
pair36;"• Где ты остановился, не начав?
• Представь, что ты гений — как бы ты поступил?
• Сделай один шаг, где разрешено ошибиться."
pair37;"• В чём ты сейчас подчиняешься против воли?
• Напиши урок, который ты мог бы передать другим.
• Сегодня — одно «нет» из уважения к себе."
pair38;"• В чём ты обмениваешь себя за любовь?
• Практика: письмо себе как священному сосуду.
• Заземление: прикосновение как благословение."
pair39;"• В чём ты отвергала свою дикую природу?
• Нарисуй свою королевскую суть: цвета, формы, аромат.
• Сегодня — сделай себе красиво, не из долга, а из любви."
pair40;"• Когда ты притворяешься глупее, чем есть?
• Представь себя Шутом, который смеётся над страхом.
• Один смелый вопрос сегодня — без самокритики."
pair41;"• В чём ты чувствуешь недостаток?
• Составь список своих уникальных даров.
• Сегодня — подари что -то, не ожидая взамен."
pair42;"• Где ты нападаешь, чтобы защититься?
• Напиши кодекс Паладина, которому ты следуешь.
• Практика: мягкая граница вместо удара."
pair43;"• Кого ты хочешь ""стереть"" из своей жизни — честно?
• Что бы сказал тебе Старец о ярости?
• Практика: письмо гнева, не отправляя."
pair44;"• В чём ты боишься своей глубины?
• Нарисуй символ своей мистической природы.
• Практика: молчаливое присутствие — без объяснений."
pair45;"• Где ты жалуешься вместо просьбы?
• Представь: Мудрая женщина говорит твоими словами.
• Сегодня — один совет, даром и с любовью."
pair46;"• Где ты подавляешь, хотя хочешь соединиться?
• Опиши тот страх, который ты прячешь за агрессией.
• Представь: Шаман берёт этот страх в руки и превращает в силу. Какую?"
pair47;"• Где ты наказываешь других за своё одиночество?
• Расскажи историю боли: без вины, без защиты.
• Представь: Бог обнимает твою Тень. Что он говорит?"
pair48;"• Где ты «наказываешь» себя, называя это дисциплиной?
• Вспомни: когда ты был ранен — кто был рядом?
• Представь: Мудрый Глупец обнимает твою боль. Что он видит?"
pair49;"• Вспомни: с кем ты чувствуешь доверие — даже в молчании?
• Где ты отвергаешь других, чтобы они не отвергли тебя?
• Представь: Друг садится рядом и молчит. Что ты хочешь сказать первым?"
pair50;"• Где ты заменяешь чувства — едой или бездействием?
• Представь, что Оптимист протягивает тебе руку: куда ты хочешь пойти?
• Каким ты был бы, если бы верил, что достоин перемен?"
pair51;"• Где ты боишься сказать правду и прячешься за шуткой?
• Вспомни момент, когда тебя понимали — несмотря ни на что.
• Представь: Шут снимает маску. Что под ней?"
pair52;"• Где ты маскируешь незнание под уверенность?
• Кого ты обманываешь чаще — себя или других?
• Представь: Адепт передаёт тебе символ истины. Что ты с ним сделаешь?"
pair53;"• Где ты давишь вместо того, чтобы говорить?
• Представь: твоя ярость — это мальчик. Что ему нужно?
• Нарисуй образ Мужчины, каким ты хочешь быть."
pair54;"• Где ты соблазняешь, боясь быть собой?
• Кем ты была бы без нужды в одобрении?
• Представь: Богиня обнимает твою Тень. Какое тело у неё?"
pair55;"• Где ты предал свои собственные желания?
• Вспомни: кто остался, даже когда ты отвергал?
• Представь: Союзник возвращает тебе доверие. Что ты готов дать взамен?"
pair56;"• Где ты пугаешь, потому что боишься сам?
• Кого ты хочешь защитить, причиняя боль?
• Представь: Защитник ставит вокруг тебя щит. Что ты охраняешь внутри?"
pair57;"• Где ты соглашаешься, хотя хочешь иначе?
• Как звучит твой собственный голос в тишине?
• Представь: Король вручает тебе скипетр. Как ты будешь использовать его?"
pair58;"• Где ты насыщаешься, не чувствуя вкуса?
• Что твоё тело просит на самом деле?
• Представь: Мать -Земля касается тебя. Что она хочет, чтобы ты услышал(а)?"
pair59;"• Где ты манипулируешь, чтобы не быть отвергнутой?
• Как бы ты проявилась, если бы тебя не стыдили?
• Представь: Живая Красота улыбается тебе. Что ты хочешь принять в себе?"
pair60;"• Где ты соблазняешь вместо того, чтобы приглашать?
• Что ты прячешь под маской харизмы?
• Представь: Маг смотрит тебе в глаза. Что он хочет, чтобы ты признал(а)?"
pair61;"• Где ты «пьянеешь», чтобы не чувствовать?
• Что ты избегаешь в полной осознанности?
• Представь: Адепт держит тебя за руку. Что он показывает тебе в этом моменте?"
pair62;"• Где ты ищешь любовь, отвергая себя?
• Что ты осуждаешь в своей чувственности?
• Представь: Влюблённый целует твоё сердце. Что ты позволяешь себе почувствовать?"
pair63;"• Где ты сражаешься, забывая, ради чего?
• Что внутри требует мести, а не исцеления?
• Представь: Паладин кладёт меч. За что ты теперь сражаешься?"
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
